name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Abbots","6ME6",US,4421.200N,07023.700W,730ft,2,160,1700ft,70ft,,"6ME6, Private, RW width: 70"
"Adirondack","SLK",US,4423.117N,07412.367W,1663ft,5,49,6573ft,150ft,123.0,"SLK, RW width: 150, UNICOM: 123.0, Fuel: 100LL"
"Adirondack Estates","NY17",US,4436.550N,07351.483W,1352ft,5,90,2050ft,20ft,122.8,"NY17, Private, RW width: 20, UNICOM: 122.8"
"Airhaven","09N",US,4149.956N,07352.558W,450ft,2,16,1863ft,75ft,122.9,"09N, 02/20 18T, RW width: 75, CTAF: 122.9"
"Albany","ALB",US,4244.950N,07348.117W,285ft,5,371,8500ft,150ft,122.95,"ALB, RW width: 150, Tower: 119.5, UNICOM: 122.95, Fuel: 100LL"
"Albert Farms","MA88",US,4223.330N,07255.800W,1420ft,5,180,2100ft,50ft,,"MA88, Private, N/S 28A, RW width: 50"
"Alexander Farm","NY82",US,4234.838N,07336.974W,525ft,2,180,3380ft,100ft,,"NY82, Private, 18/36 34G, RW width: 100"
"Allen's Pond","ALLNSPND",US,4130.667N,07101.683W,59ft,0,,,,,"5MA9, 13/31 12T"
"Allenholm","VT26",US,4438.067N,07318.400W,141ft,2,180,2000ft,40ft,,"VT26, Private, RW width: 40"
"Alta Vista","ALTAVIST",US,4221.510N,07155.580W,1070ft,3,,1800ft,,,"Landable"
"Amsterdam","NY87",US,4257.750N,07415.217W,340ft,2,90,1450ft,160ft,,"NY87, Private, RW width: 160"
"Angus Airways","ANGUSRWS",US,4413.750N,07247.340W,670ft,3,,,,,"Landable"
"Antrim","ANTRIM",US,4300.900N,07155.880W,600ft,3,,1400ft,,,"Landable"
"Apex","65NK",US,4243.767N,07409.833W,1130ft,2,90,2750ft,60ft,,"65NK, Private, RW width: 60"
"Archdale Meadows","NY63",US,4303.200N,07328.700W,584ft,2,90,1500ft,90ft,,"NY63, Private, RW width: 90"
"Ardell Flying","VT59",US,4316.670N,07254.590W,1900ft,2,180,1900ft,175ft,,"VT59, Private, RW width: 175"
"Argyle","1C3",US,4315.267N,07328.217W,330ft,2,30,2400ft,87ft,122.9,"1C3, RW width: 87, CTAF: 122.9"
"Ass-Pirin Acres","VT11",US,4404.117N,07322.400W,131ft,2,100,2600ft,200ft,122.8,"VT11, Private, RW width: 200, UNICOM: 122.8"
"Auburn/Lewiston","LEW",US,4402.917N,07017.017W,288ft,5,41,5001ft,100ft,122.8,"LEW, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"August","NK17",US,4312.567N,07334.900W,131ft,2,30,2100ft,100ft,,"NK17, Private, RW width: 100"
"Axinn","VT14",US,4402.700N,07311.380W,440ft,3,20,1400ft,90ft,,"VT14, Landable, RW width: 90"
"B Flat Farm","3NK8",US,4208.433N,07336.717W,800ft,2,180,1300ft,40ft,,"3NK8, Private, RW width: 40"
"B&B Farm","MA89",US,4220.754N,07206.200W,980ft,2,160,2000ft,100ft,,"MA89, Private, RW width: 100"
"Back Acres","ME46",US,4324.733N,07026.800W,60ft,2,20,1000ft,200ft,,"ME46, Private, RW width: 200"
"Bancroft","CT14",US,4151.980N,07236.560W,52ft,2,130,2400ft,100ft,,"CT14, Private, 13/31 18T, RW width: 100"
"Barnes Muni","BAF",US,4209.510N,07242.940W,260ft,5,24,9000ft,150ft,118.9,"BAF, 02/20 90A, RW width: 150, ATIS: 127.1, Tower: 118.9, Fuel: 100LL"
"Barnstable M","HYA",US,4140.150N,07016.817W,56ft,5,66,5425ft,150ft,119.5,"HYA, RW width: 150, ATIS: 123.8, Tower: 119.5, UNICOM: 122.95, Fuel: 100LL"
"Basin Harbor","B06",US,4411.750N,07320.967W,131ft,2,20,3000ft,90ft,122.8,"B06, RW width: 90, UNICOM: 122.8"
"Bayley's","80ME",US,4332.783N,07022.467W,24ft,2,110,4000ft,200ft,,"80ME, Private, RW width: 200"
"Bee","24CT",US,4134.017N,07158.017W,280ft,2,10,1700ft,50ft,,"24CT, Private, RW width: 50"
"Bennetts","0NY0",US,4342.000N,07358.967W,1040ft,2,315,3000ft,150ft,,"0NY0, Private, RW width: 150"
"Berlin Muni","BML",US,4434.483N,07110.533W,1158ft,5,175,5200ft,100ft,122.7,"BML, 18/36 52A, RW width: 100, UNICOM: 122.7, Fuel: 100LL"
"Bethel","0B1",US,4425.517N,07048.600W,674ft,5,140,3818ft,75ft,122.9,"0B1, RW width: 75, CTAF: 122.9, Fuel: 100LL"
"Beverly Muni","BVY",US,4235.050N,07054.983W,108ft,5,157,5001ft,100ft,125.2,"BVY, 09/27 50A, RW width: 100, ATIS: 119.2, Tower: 125.2, UNICOM: 122.95, Fuel: 100LL, Turn Point"
"Biddeford","B19",US,4327.850N,07028.350W,157ft,5,58,3000ft,75ft,123.0,"B19, RW width: 75, UNICOM: 123.0, Fuel: 100LL"
"Blodgett Farm","BLDGTTFR",US,4245.500N,07228.750W,250ft,3,,,,,"VT47, Landable, 02/20 18T"
"Blue Heron","N25",US,4241.833N,07411.967W,1200ft,2,90,2600ft,70ft,122.9,"N25, RW width: 70, CTAF: 122.9"
"Blueberry Hill","MA77",US,4222.510N,07308.880W,2000ft,3,160,1700ft,100ft,,"MA77, Landable, 16/34 18T, RW width: 100"
"Boire Field","ASH",US,4246.940N,07130.830W,200ft,5,139,6000ft,100ft,133.2,"ASH, 14/32 55A, RW width: 100, ATIS: 125.1, Tower: 133.2, Fuel: 100LL"
"Bonebender","41NY",US,4418.750N,07323.100W,336ft,2,10,1800ft,75ft,,"41NY, Private, RW width: 75"
"Bostwick Farm","VT23",US,4422.250N,07315.017W,220ft,2,10,2500ft,100ft,,"VT23, Private, RW width: 100"
"Bowman","B10",US,4424.600N,07008.767W,324ft,2,20,2201ft,120ft,122.9,"B10, RW width: 120, CTAF: 122.9"
"Boylan Airport","5B1",US,4447.483N,07149.300W,1194ft,2,141,2650ft,120ft,122.9,"5B1, 14/32 27T, RW width: 120, CTAF: 122.9"
"Boylston Dike","BOLSTNDK",US,4224.080N,07143.220W,380ft,3,,3900ft,,,"Landable"
"Bradley","NH49",US,4358.230N,07140.835W,630ft,2,20,1700ft,30ft,,"NH49, Private, 02/20 17T, RW width: 30"
"Bradley Intl","BDL",US,4156.317N,07240.983W,174ft,5,58,9510ft,200ft,122.95,"BDL, 01/19 51A, RW width: 200, Tower: 120.3, UNICOM: 122.95, Fuel: 100LL"
"Brandon","VT55",US,4354.030N,07235.010W,710ft,3,170,1300ft,25ft,,"VT55, Landable, 17/35 13T, RW width: 25"
"Brisson","37VT",US,4352.117N,07319.083W,320ft,2,10,1600ft,50ft,,"37VT, Private, RW width: 50"
"Brookline","NH16",US,4244.500N,07142.430W,410ft,0,10,1900ft,24ft,,"NH16, 01/19 20A, RW width: 24"
"Brunswick Executive","BXM",US,4353.533N,06956.333W,75ft,5,372,8000ft,200ft,122.725,"BXM, RW width: 200, UNICOM: 122.725, Fuel: 100LL"
"Bulljump","11MA",US,4148.433N,07045.500W,59ft,2,40,1200ft,42ft,,"11MA, Private, 04/22 12T, RW width: 42"
"Burlington Intl.","BTV",US,4428.283N,07309.150W,335ft,5,146,8319ft,150ft,118.3,"BTV, RW width: 150, ATIS: 123.8, Tower: 118.3, UNICOM: 122.95, Fuel: 100LL"
"Buzzy's","ME89",US,4336.505N,07058.087W,650ft,2,90,1650ft,100ft,,"ME89, Private, 09/27 17T, RW width: 100"
"Caledonia","CDA",US,4434.133N,07201.067W,1188ft,5,24,3302ft,60ft,122.8,"6B8, 02/20 33A, RW width: 60, UNICOM: 122.8, Fuel: 100LL"
"Candlelight","11N",US,4134.000N,07327.967W,676ft,2,167,2900ft,50ft,122.9,"11N, 16/34 29T, RW width: 50, CTAF: 122.9, Turn Point"
"Cannizzaro","28MA",US,4204.710N,07249.110W,260ft,3,30,1600ft,50ft,,"28MA, Landable, RW width: 50"
"Canterbury Farm","CNTRBRFR",US,4130.500N,07318.467W,650ft,0,,,,,"CT60, 18/36 14T"
"Cape Cod","2B1",US,4141.250N,07024.217W,98ft,2,90,2700ft,60ft,122.9,"2B1, RW width: 60, CTAF: 122.9, Fuel: 100LL"
"Carriers Skypark","VT31",US,4406.670N,07226.640W,1570ft,2,10,1500ft,50ft,,"VT31, Private, 01/19 15G, RW width: 50"
"Catalano","1NK6",US,4425.417N,07344.983W,840ft,2,30,2400ft,70ft,,"1NK6, Private, RW width: 70"
"Catamount","VT62",US,4423.417N,07221.033W,1350ft,2,40,1390ft,40ft,,"VT62, Private, RW width: 40"
"Catskill Valley","2NY0",US,4216.833N,07357.167W,190ft,2,20,1475ft,50ft,,"2NY0, Private, RW width: 50"
"Chapin","1B8",US,4303.167N,07321.783W,510ft,2,46,2130ft,65ft,122.9,"1B8, RW width: 65, CTAF: 122.9"
"Chatham Muni","CQX",US,4141.300N,06959.367W,69ft,5,60,3001ft,100ft,122.8,"CQX, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"Chester","SNC",US,4123.033N,07230.350W,417ft,5,174,2722ft,50ft,122.8,"3B9, 17/35 26A, RW width: 50, UNICOM: 122.725, Fuel: 100LL"
"Chickville","NH18",US,4344.000N,07109.067W,561ft,2,10,2000ft,100ft,,"NH18, Private, 01/19 20T, RW width: 100"
"Cibor","CIBOR",US,4300.500N,07047.967W,98ft,0,,,,,"NH28, 10/28 25A"
"Circle K Ranch","NY65",US,4308.233N,07406.967W,920ft,2,160,1800ft,100ft,,"NY65, Private, RW width: 100"
"Claremont","CNH",US,4322.230N,07222.080W,540ft,5,109,3098ft,100ft,122.7,"CNH, 05/23 20A, RW width: 100, UNICOM: 122.7, Fuel: 100LL, Turn Point"
"Cleary","29NH",US,4259.917N,07120.117W,300ft,2,180,3200ft,60ft,,"29NH, Private, RW width: 60"
"Cliff Dow","54ME",US,4356.967N,07019.217W,415ft,2,50,1500ft,25ft,,"54ME, Private, RW width: 25"
"Cliffords","ME69",US,4404.133N,07003.867W,280ft,2,30,1680ft,50ft,,"ME69, Private, RW width: 50"
"Clouds Hill","CT66",US,4140.006N,07316.974W,940ft,2,140,1400ft,50ft,,"CT66, Private, 13/31 14T, RW width: 50"
"Cmelak","MA18",US,4204.750N,07318.433W,980ft,2,160,1250ft,80ft,,"MA18, Private, RW width: 80"
"Cole Farm","06NH",US,4255.700N,07058.383W,160ft,2,170,1900ft,150ft,,"06NH, Private, RW width: 150"
"Colebrook","4C4",US,4453.000N,07129.967W,1010ft,2,40,2466ft,75ft,122.8,"NH02, 04/22 24T, RW width: 75, UNICOM: 122.8, Turn Point"
"Columbia County","1B1",US,4217.483N,07342.617W,198ft,5,24,5350ft,100ft,123.05,"1B1, RW width: 100, UNICOM: 123.05, Fuel: 100/100LL"
"Concord Muni","CON",US,4312.000N,07130.160W,340ft,5,171,6005ft,100ft,122.7,"CON, 03/21 40A, RW width: 100, UNICOM: 122.7, Fuel: 100LL"
"Cooper Farm","NH07",US,4316.800N,07127.250W,470ft,2,160,1650ft,100ft,122.9,"NH07, Private, 16/34 17T, RW width: 100, CTAF: 122.9"
"Country Club","NH88",US,4303.990N,07136.670W,780ft,3,180,1275ft,75ft,122.8,"NH04, Landable, 18/36 12T, RW width: 75, UNICOM: 122.8"
"Cranland","28M",US,4201.483N,07050.283W,72ft,5,180,1760ft,60ft,122.9,"MA02, 18/36 18G, RW width: 60, CTAF: 122.9, Turn Point"
"Cross' Farm","4NY4",US,4233.567N,07346.317W,55ft,2,10,1500ft,100ft,,"4NY4, Private, RW width: 100"
"Crow Island","8MA4",US,4225.033N,07129.667W,180ft,2,110,2350ft,180ft,,"8MA4, Private, RW width: 180"
"Crystal","CRYSTAL",US,4227.816N,07146.466W,617ft,3,,1400ft,,,"Landable"
"Danbury Muni","DXR",US,4122.283N,07328.917W,459ft,5,84,4422ft,150ft,119.4,"DXR, 08/26 44A, RW width: 150, ATIS: 127.75, Tower: 119.4, UNICOM: 122.95, Fuel: 100LL"
"Danielson","LZD",US,4149.180N,07154.050W,240ft,5,134,2700ft,75ft,123.0,"5B3, 13/31 27A, RW width: 75, UNICOM: 123.0, Fuel: 100LL, Turn Point"
"Davis","VT45",US,4431.033N,07258.750W,640ft,2,45,1500ft,500ft,,"VT45, Private, RW width: 500"
"Dean Memorial","5B9",US,4404.780N,07200.460W,580ft,5,8,2511ft,58ft,122.8,"5B9, 01/19 25A, RW width: 58, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Deer Run","NY74",US,4219.417N,07352.383W,320ft,2,20,2450ft,50ft,,"NY74, Private, RW width: 50"
"Devils Hopyard","CT11",US,4126.633N,07220.333W,125ft,2,180,1250ft,200ft,,"CT11, Private, N/S 13T, RW width: 200"
"Dillant-Hopkins","EEN",US,4254.080N,07216.190W,480ft,5,142,4001ft,150ft,123.0,"EEN, 02/20 62A, RW width: 150, UNICOM: 123.0, Fuel: 100LL, Turn Point"
"Docktors Field","DCKTRSFL",US,4132.000N,07324.967W,299ft,0,,,,,"CT51, N/S 20T"
"Douglas","VT63",US,4459.717N,07222.733W,650ft,2,140,1200ft,60ft,,"VT63, Private, RW width: 60"
"Dresser Hill","MA30",US,4206.110N,07158.140W,800ft,3,180,1300ft,300ft,,"MA30, Landable, RW width: 300"
"Drury","DRURY",US,4238.550N,07259.750W,1600ft,3,350,1500ft,150ft,,"Landable, RW width: 150"
"Duanesburg","4B1",US,4245.600N,07408.083W,714ft,2,101,2600ft,45ft,123.0,"4B1, RW width: 45, UNICOM: 123.0, Fuel: 100LL"
"Dutchess Cnty","POU",US,4137.598N,07353.044W,166ft,5,63,5001ft,100ft,124.0,"POU, 06/24 50A, RW width: 100, ATIS: 126.75, Tower: 124.0, UNICOM: 122.95, Fuel: 100LL"
"Dyer's Landing","57ME",US,4355.067N,07051.267W,441ft,2,140,950ft,100ft,,"57ME, Private, RW width: 100"
"E.A. Deeds Farm","VT12",US,4417.470N,07317.030W,110ft,3,10,1700ft,75ft,,"VT12, Landable, RW width: 75"
"Eagle","15ME",US,4348.917N,07013.750W,150ft,2,70,2600ft,60ft,,"15ME, Private, RW width: 60"
"Eagles Nest","NH40",US,4324.280N,07156.940W,1000ft,5,140,2700ft,30ft,122.8,"NH40, Private, 14/32 28A, RW width: 30, UNICOM: 122.8"
"Eastern Slopes","IZG",US,4359.444N,07056.827W,452ft,5,143,4200ft,75ft,122.8,"IZG, 14/32 37A, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Edward Knapp","MPV",US,4412.180N,07233.900W,1160ft,5,168,5000ft,100ft,122.8,"MPV, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"Ellington","7B9",US,4155.520N,07227.420W,250ft,5,10,1800ft,50ft,123.0,"7B9, 01/19 18A, RW width: 50, UNICOM: 123.0, Fuel: 100LL"
"Eric's","78ME",US,4345.183N,07015.550W,97ft,2,180,1900ft,60ft,,"78ME, Private, RW width: 60"
"Errol","ERR",US,4447.550N,07109.850W,1243ft,2,150,3680ft,75ft,122.8,"ERR, 15/33 37G, RW width: 75, UNICOM: 122.8"
"Essex County","CDW",US,4052.517N,07416.883W,172ft,5,43,4552ft,80ft,119.8,"CDW, RW width: 80, ATIS: 135.5, Tower: 119.8, UNICOM: 122.95, Fuel: 100LL"
"Fair Haven M","FAIRHVNM",US,4336.920N,07316.460W,370ft,3,,,,,"Landable"
"Fairholt","FAIRHOLT",US,4427.683N,07311.750W,351ft,0,,,,,
"Falmouth Air","5B6",US,4135.083N,07032.467W,43ft,5,70,2298ft,40ft,122.8,"5B6, RW width: 40, UNICOM: 122.8, Fuel: 100LL/UL94"
"Farr","ME33",US,4346.717N,07000.783W,70ft,2,140,1900ft,100ft,,"ME33, Private, RW width: 100"
"Fitchburg","FIT",US,4233.240N,07145.550W,340ft,5,144,4510ft,100ft,122.7,"FIT, 14/32 35A, RW width: 100, UNICOM: 122.7, Fuel: 100LL, Turn Point"
"Floyd Bennett","GFL",US,4320.467N,07336.617W,328ft,5,372,5000ft,150ft,123.0,"GFL, RW width: 150, UNICOM: 123.0, Fuel: 100LL"
"Flying Hsky","FLYNGHSK",US,4341.200N,07117.350W,620ft,0,,,,,"NH25, 09/27 15A"
"Flying Ridge","CT52",US,4122.083N,07317.467W,610ft,2,180,2000ft,200ft,,"CT52, Private, N/S 20T, RW width: 200"
"Franconia","1B5",US,4411.700N,07145.050W,970ft,2,188,2305ft,150ft,122.8,"1B5, 18/36 26T, RW width: 150, UNICOM: 122.8, Turn Point"
"Franklin","FSO",US,4456.417N,07305.833W,226ft,5,365,3000ft,60ft,122.8,"FSO, RW width: 60, UNICOM: 122.8, Fuel: 100LL"
"Freehold","1I5",US,4221.833N,07403.900W,440ft,5,124,2275ft,22ft,122.85,"1I5, RW width: 22, CTAF: 122.85"
"Frogs End","42VT",US,4421.940N,07309.170W,390ft,3,100,700ft,30ft,,"42VT, Landable, RW width: 30"
"Fulton County","NY0",US,4259.900N,07419.767W,881ft,5,103,4000ft,75ft,122.7,"NY0, RW width: 75, UNICOM: 122.7, Fuel: 100LL"
"Gager Field","CT36",US,4133.867N,07211.833W,466ft,2,20,2150ft,50ft,122.725,"CT36, Private, 02/20 22T, RW width: 50, UNICOM: 122.725"
"Gallup Farm","CT32",US,4132.117N,07150.067W,440ft,2,180,2000ft,200ft,,"CT32, Private, N/S 20T, RW width: 200"
"Galway","NY37",US,4300.550N,07405.467W,950ft,2,100,2200ft,90ft,,"NY37, Private, RW width: 90"
"Gar","7NY1",US,4245.800N,07416.700W,640ft,2,100,1100ft,50ft,,"7NY1, Private, RW width: 50"
"Garabedian Unknown","1MA5",US,4216.750N,07132.715W,440ft,5,110,1500ft,30ft,,"1MA5, Private, 11/29 14A, RW width: 30"
"Gardiner","5NY5",US,4140.000N,07408.983W,340ft,2,120,2400ft,20ft,122.975,"5NY5, Private, RW width: 20, UNICOM: 122.975"
"Gardner","GDM",US,4232.960N,07200.950W,950ft,5,179,3000ft,75ft,122.8,"GDM, 18/36 30A, RW width: 75, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Gardner Lake","GARDNRLK",US,4130.483N,07214.617W,486ft,0,,,,,"CT08, 16/34 19T"
"Garnseys","B04",US,4304.067N,07335.033W,100ft,2,19,2500ft,90ft,122.9,"B04, RW width: 90, CTAF: 122.9"
"Goddard","04MA",US,4248.583N,07108.350W,200ft,2,160,2100ft,300ft,,"04MA, Private, 16/34 21T, RW width: 300, Turn Point"
"Good Hill Farm","CT59",US,4133.000N,07315.967W,948ft,2,180,2700ft,200ft,,"CT59, Private, N/S 27T, RW width: 200"
"Goodspeed","42B",US,4126.733N,07227.333W,10ft,5,140,2120ft,50ft,122.8,"42B, 14/32 21A, RW width: 50, UNICOM: 122.8"
"Goosefair","ME45",US,4324.333N,07025.933W,40ft,2,140,1600ft,40ft,,"ME45, Private, RW width: 40"
"Gorham","2G8",US,4423.583N,07111.800W,837ft,2,125,2822ft,70ft,122.9,"NH05, 12/30 28T, RW width: 70, UNICOM: 122.8, Turn Point"
"Granville","01NK",US,4325.380N,07316.100W,420ft,2,158,2500ft,50ft,,"01NK, Private, RW width: 50"
"Great Barrington","GBR",US,4211.050N,07324.183W,738ft,5,110,2579ft,50ft,122.8,"GBR, 11/29 26A, RW width: 50, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Greaton","98M",US,4334.550N,07031.133W,170ft,2,60,2200ft,50ft,122.9,"98M, RW width: 50, CTAF: 122.9"
"Green Acres CT","CT96",US,4142.510N,07258.240W,950ft,5,160,1800ft,24ft,,"CT96, Private, 16/34 18A, RW width: 24"
"Green Acres NY","1A1",US,4208.967N,07345.033W,297ft,2,27,2275ft,75ft,122.9,"1A1, RW width: 75, CTAF: 122.9"
"Greenville-Rainbow","1H4",US,4225.183N,07400.417W,840ft,2,374,1801ft,75ft,122.8,"1H4, RW width: 75, UNICOM: 122.8"
"Greenwood Lake","4N1",US,4107.700N,07420.800W,790ft,5,61,3471ft,60ft,122.9,"4N1, RW width: 60, CTAF: 122.9, Fuel: 100LL"
"Greenwoods","VT38",US,4500.550N,07314.800W,179ft,2,10,2200ft,100ft,,"VT38, Private, RW width: 100"
"Greig Farm","9NK4",US,4201.467N,07351.383W,215ft,2,60,3400ft,35ft,,"9NK4, Private, RW width: 35"
"Griswold","GRISWOLD",US,4116.267N,07232.983W,16ft,0,,,,122.8,"N04, 06/24 19A"
"Groton-New London","GON",US,4119.800N,07202.700W,10ft,5,48,5000ft,150ft,125.6,"GON, 05/23 50A, RW width: 150, ATIS: 127.0, Tower: 125.6, Fuel: 100LL"
"Hadley","03MA",US,4223.610N,07233.000W,150ft,2,120,1600ft,60ft,,"03MA, Private, 12/30 16T, RW width: 60"
"Hampton Airfield","7B3",US,4257.750N,07049.717W,92ft,5,20,2100ft,170ft,122.8,"7B3, 02/20 21T, RW width: 170, UNICOM: 122.8, Fuel: 100LL/MOGAS"
"Hanscom","BED",US,4228.183N,07117.333W,135ft,5,113,7011ft,150ft,118.5,"BED, 05/23 51A, RW width: 150, ATIS: 124.6, Tower: 118.5, UNICOM: 122.95, Fuel: 100LL"
"Harriman-and-West","AQW",US,4241.760N,07310.020W,650ft,5,111,4300ft,100ft,122.8,"AQW, 11/29 43A, RW width: 100, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Harris","83K",US,4324.583N,07331.967W,261ft,2,40,2200ft,50ft,122.9,"83K, RW width: 50, CTAF: 122.9"
"Hartford-Brainard","HFD",US,4144.167N,07239.000W,20ft,5,24,4417ft,150ft,119.6,"HFD, 02/20 44A, RW width: 150, ATIS: 126.45, Tower: 119.6, UNICOM: 122.95, Fuel: 100LL"
"Hartness Sta","VSF",US,4320.460N,07231.160W,570ft,5,50,5501ft,100ft,122.8,"VSF, 05/23 55A, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"Haverhill-Riverside","HVRHLLRV",US,4246.167N,07102.000W,16ft,0,,,,122.8,"MA04, 06/24 16A"
"Hawk's Nest","88VT",US,4452.700N,07321.017W,140ft,2,30,2350ft,50ft,,"88VT, Private, RW width: 50"
